,Rating,Rating,Rating,Rating,Rating,Rating,Rating,Rating,Rating,Rating,Rating,Rating,Rating,Rating,Rating,Rating,Rating,Rating,Rating,Rating
99,1.0,,,,,,,,,,,,4.0,,,1.0,,,5.0,
100,3.0,,3.0,3.33,5.0,,2.0,4.0,,,,3.0,2.5,,,3.0,4.67,4.0,,3.0
101,3.5,,2.0,4.0,,,,4.75,4.0,,,,3.67,4.0,,3.75,,,,5.0
102,1.75,,3.0,3.0,,,,,,,,,3.5,,,3.0,2.0,,1.0,3.0
103,,,,,4.0,,,,,,,,5.0,,,,4.0,,,3.0
104,2.61,3.75,4.33,2.94,5.0,,4.5,3.75,2.67,,,,3.75,3.0,,3.38,3.62,3.58,2.25,4.0
105,2.58,,3.0,2.95,2.5,,2.5,5.0,,,,,3.43,3.0,,3.07,4.0,3.0,3.0,
107,3.5,4.0,,3.0,2.0,,,4.67,2.0,,,,4.25,1.0,,3.5,3.5,3.5,3.5,3.0
108,,,,,,,,,,,,,4.0,,,,,,,
110,3.78,3.96,3.64,3.89,3.0,,4.0,4.7,2.92,,,3.5,3.29,4.55,,4.21,4.53,4.44,2.95,4.35
111,3.62,4.31,4.7,4.18,3.17,,5.0,4.88,3.5,,,,4.09,4.17,,4.38,4.68,3.33,3.92,4.5
112,2.0,4.0,3.0,3.39,3.67,,3.5,5.0,2.25,,,,3.5,0.5,,3.5,3.5,3.33,3.0,
113,3.0,,,,,,,,,,,,4.0,,,2.0,,,4.0,3.0
114,3.0,,,,,,,,,,,,,,,,,,,
116,,,,4.25,,,,,,,,,5.0,,,5.0,,,5.0,5.0
117,,,,4.0,,,,,,,1.0,,3.0,,,,3.33,,,
118,1.0,,,3.0,,,,,,,,,4.0,,,3.0,,,,
119,3.0,,,,,,,,,,,,,,,,,,,
121,4.0,,,3.0,,,,,,,,,4.0,,,,4.0,,,
122,2.12,3.5,3.0,3.25,,,,,,,,,3.5,,,3.0,,3.0,3.5,
123,4.0,,,4.0,,,,,4.0,,,,3.0,5.0,,,4.0,,,
124,,,,3.0,,,,,,,,,,,,,,,,
125,2.0,4.0,,4.5,,,,,3.5,,,,4.0,,,4.0,3.79,1.0,4.0,4.0
126,,,3.0,1.5,,,4.0,,,,,,1.0,3.0,,3.0,3.0,,,4.0
129,,,,,,,,,,,,,,,,,,,3.0,
130,,,,,,,,,,,,,,,,,,4.5,,
131,,,,,,,,,,,,,2.0,,,,,,,
132,,4.0,,2.25,,,,,,,,,3.5,,,,,3.0,,
135,1.88,2.5,,2.5,,,3.5,4.0,,,,,3.1,,,3.5,,2.0,4.0,4.0
137,,,,,,,,,,,,,1.0,,,,,,,
140,3.0,,,3.33,3.0,,,5.0,,,,3.0,,,,3.33,4.0,5.0,3.0,4.0
141,2.75,4.25,3.6,3.52,4.0,,3.0,4.33,,,,4.0,3.32,4.5,,3.62,3.62,3.69,3.0,3.38
144,2.88,,,3.0,5.0,,,4.0,,,,,4.33,,,3.0,4.0,4.0,3.5,1.0
145,3.25,2.75,4.17,3.19,2.5,4.5,,3.83,2.5,,,,3.21,3.0,,3.5,,3.17,3.0,3.5
146,4.0,,,,,,,,,,,,4.0,,,5.0,,,,
147,2.0,4.0,,4.06,,,,,4.0,,,,2.8,,,4.0,4.25,,,3.75
148,,,,4.0,,,,,,,,,,,,,,,,
149,,,,,,,,,5.0,,,,4.5,,,,4.0,,,
150,3.33,3.92,4.0,3.75,3.8,,4.0,4.45,2.5,,,,3.8,3.71,,4.5,4.3,4.0,3.8,3.75
151,3.25,,2.5,3.64,2.0,,,5.0,2.5,,,,4.0,,,3.4,3.67,3.5,3.5,4.67
152,,,,3.5,,,,,,,,,4.0,,,,,,4.0,
153,2.31,3.6,2.33,2.46,2.8,,3.0,4.0,1.5,,,,3.08,3.4,,2.25,2.94,3.0,2.64,2.94
154,4.0,,,4.0,,,4.0,,2.0,,,,4.33,,,4.0,4.0,2.0,,4.0
155,3.75,3.0,,3.0,,,,,,,,,2.5,,,,,,3.0,3.0
156,,,,3.83,,,5.0,,,,,,4.33,,,4.0,,3.0,,3.5
157,1.0,,,2.67,,,,,2.0,,,,3.0,,,,,,1.0,4.0
158,2.5,4.5,3.0,2.25,1.0,0.5,3.0,3.12,,,,2.5,3.1,2.75,2.0,2.83,4.0,4.33,3.5,
159,,,,3.5,,,,,,,,,4.0,,,4.5,4.0,5.0,,
160,1.94,3.0,2.38,2.0,3.0,,,1.0,0.5,,,,2.81,2.38,,2.88,2.67,3.0,2.0,2.0
161,3.36,4.0,3.33,3.55,4.0,,,4.38,3.0,,,,3.8,4.08,,4.14,4.15,4.0,,5.0
162,4.0,4.5,,3.75,5.0,,5.0,,4.0,,,,4.42,5.0,,1.0,4.17,,4.0,4.5
163,3.14,4.5,3.0,3.54,,3.5,,3.5,2.83,1.5,,,3.4,4.0,,3.3,4.38,4.06,3.0,3.5
164,3.0,4.0,,3.2,3.0,,,5.0,4.0,,,,3.75,,,,4.0,3.5,3.0,3.75
165,3.0,4.12,3.62,3.37,3.25,,2.0,4.06,3.25,,,0.5,3.25,3.71,,3.43,4.06,3.88,3.12,3.2
166,,,,1.0,,,,,,,,,3.0,,,,5.0,,,
167,,,,,,,,,,,,,,,,,,,4.0,
168,2.62,4.0,2.0,2.81,,,,,,4.0,,,3.4,3.0,,3.25,4.0,4.0,4.0,
169,,5.0,4.0,1.5,,,3.0,,,,,1.5,1.0,,,3.0,,,,
170,2.75,5.0,4.0,3.33,2.75,,,,2.25,,,,3.5,3.83,,3.0,3.33,4.0,,
171,,,,4.0,,,,,,,,,4.0,,,,4.5,5.0,4.0,
172,2.15,5.0,3.0,2.71,2.0,,,,1.0,2.0,,,1.92,3.75,,2.5,3.33,2.83,2.0,
173,1.9,3.17,1.7,2.53,4.0,,,3.25,,,,,2.78,2.75,,2.2,3.25,3.5,1.75,
174,,,,,3.0,,,,,,,,1.0,,,3.0,,2.0,,
175,4.0,5.0,5.0,4.0,,,,,4.5,,,,2.67,4.17,,4.0,4.5,4.0,3.0,3.0
176,2.5,5.0,,4.2,,,,,4.0,,,,3.58,,,,3.0,4.0,3.0,4.0
177,0.5,,,3.2,2.0,,,,,,,,2.0,4.0,,,,5.0,3.0,3.0
178,,,,5.0,,,,,,,,,5.0,,,,4.25,5.0,,
179,,5.0,,3.0,,,,,,,,,2.0,,,3.0,4.0,4.0,,
180,3.67,3.0,3.25,2.85,3.25,,,,2.83,,,,3.44,5.0,,2.75,3.75,3.88,3.0,3.5
181,2.0,,2.0,2.0,1.0,,,,,,,,2.0,3.0,,1.5,,1.0,,1.0
183,,,,,,,,,,,,,5.0,,,,,,,
184,,,,,,,,,,,,,4.5,,,,,,,
185,2.42,3.75,2.33,2.76,3.12,,3.0,4.2,2.33,,,,3.0,3.36,,3.22,3.79,3.43,3.5,3.33
186,2.29,3.25,2.0,2.5,3.0,,,4.0,,3.5,,,2.67,5.0,,3.0,3.25,3.33,2.83,3.0
187,,,,,,,,,,,,3.5,,,,,,,2.5,
188,,,,3.4,1.0,,,,,,5.0,,5.0,2.0,,2.0,3.5,3.0,3.0,2.0
189,,,,,,,,,,,,,4.0,,,,,,,
190,,,,3.0,,,,,,,,,,,,,5.0,,3.5,3.0
191,,,,3.25,,,2.0,,,,,,,,,,,,,
193,1.62,5.0,,2.08,,,,,1.0,,,,2.71,,0.5,2.0,2.0,3.0,,4.0
194,5.0,4.0,,4.33,,,5.0,,,,,,4.12,4.0,,5.0,4.17,4.0,4.0,4.0
195,3.5,,3.0,3.0,,,,,,,,,,3.0,,4.0,,2.67,4.0,
196,2.56,3.0,2.67,2.72,2.17,,,3.0,2.0,,,,3.8,,,3.0,3.0,3.38,2.17,2.67
198,3.5,4.0,3.0,3.2,,,,4.0,1.5,,,,3.0,5.0,,3.4,4.5,4.33,2.81,
199,,,,,,,,,,,,,4.0,,,3.0,3.0,,,
200,,,,,,,,,,,,,,,,,4.0,,,
201,,,,,,,,,,,,,,,,4.0,,,,
202,,,,,,,,,,,,,2.0,,,,4.0,,4.0,
203,2.38,,3.5,3.3,3.0,,,4.0,,,,,3.67,4.0,,3.0,4.0,,4.0,3.5
204,2.62,4.0,1.0,3.6,,,4.0,4.0,1.25,,,,2.75,4.0,,2.6,4.0,4.0,3.0,3.0
205,,,,,,,,4.0,,,,,3.0,,,4.0,,5.0,,
206,,4.5,,1.5,,,,,,,,,3.67,,,,4.0,4.0,5.0,
207,2.7,5.0,3.0,4.0,,,,,,,,,3.0,,,4.33,3.75,,3.1,3.0
208,2.42,3.5,2.62,2.69,2.17,,,3.9,1.17,,,,2.43,3.5,,2.93,3.19,3.57,2.08,2.71
209,3.0,,,3.0,,,,,,,,,2.0,,,2.0,,,,
211,,,,,3.0,,,,,,,,3.5,,,,,,,
213,,,,4.33,,,5.0,,,,,,4.5,,,2.0,5.0,,,4.0
214,,,,4.0,,,,,2.0,,,,,,,,,,,
215,,5.0,,4.1,,,,4.0,2.75,,1.0,3.5,3.0,,,,4.0,,4.12,4.0
216,2.06,,3.0,3.17,3.75,,,4.5,2.5,,,,3.11,,,2.67,4.0,4.0,4.0,3.0
217,,,,2.0,,,,,,,,,2.5,,,4.0,,2.0,3.0,
218,2.5,,3.0,3.8,,,,,,,,,3.0,,,4.0,,,3.0,4.0
219,,4.0,,,,,,,,,,,4.0,,,,,,5.0,4.0
220,,,,,,,,,,,,,2.0,4.0,,,,,,
222,3.12,,4.0,3.3,4.0,,,5.0,,,,,4.0,5.0,,5.0,4.25,4.33,,
223,3.25,3.73,4.42,3.82,3.5,,3.5,4.33,3.75,,,,3.9,3.92,,3.81,4.25,4.83,4.5,4.67
224,3.0,3.0,2.0,3.5,,,,,,,,,4.12,4.0,,3.8,4.33,4.0,3.0,4.0
225,2.43,4.0,4.0,3.33,,,,5.0,1.0,,,,3.12,2.5,,3.0,4.0,3.5,3.0,
227,,4.0,2.5,2.0,3.25,,,,,,,,3.5,4.0,,3.0,4.0,,2.0,
228,,,,,,,,,,,,,,,,2.0,,,,
229,4.0,,,3.5,,,,,,,,,4.5,4.0,,,4.0,4.0,5.0,4.0
230,3.2,,5.0,3.8,2.0,,,,1.25,,,,5.0,4.0,,4.0,4.0,4.33,4.0,
231,2.67,3.43,2.4,2.73,2.5,,4.0,4.33,2.88,,,3.0,3.13,3.64,,3.26,3.42,3.33,2.5,4.0
232,3.0,,,3.79,4.0,,5.0,,4.0,,,,4.4,,,5.0,4.0,4.5,,4.67
233,,,,4.38,4.0,,,,4.0,,,,4.33,,,,5.0,4.5,3.0,
234,1.0,,3.0,3.0,4.0,,,,,,,,3.33,,,,,3.0,2.0,
235,3.62,4.25,4.75,3.47,,,4.0,1.0,4.0,,,4.5,3.95,3.88,,3.88,4.38,3.75,4.0,4.0
236,3.25,3.5,3.17,2.9,1.75,,2.5,4.33,,,,,3.2,4.0,,3.25,4.12,3.64,3.67,4.0
237,2.1,4.0,3.0,2.78,,,,,3.5,,,,3.5,3.0,,3.75,4.33,3.5,3.0,5.0
238,4.0,,,,1.0,,,,,,,,,,,3.33,,,,
239,1.5,,4.0,2.0,,,4.0,,2.0,,,,3.62,,,,,3.5,3.0,2.0
240,,,,,,,,,,,,,3.5,,,3.0,3.5,,,
241,,,,3.0,,,,,,,,,3.0,,,,,5.0,,
242,,,,3.5,,,,,,,,,4.0,,,,4.0,,,
243,,,,,,,,,,,,,,,,4.0,,,,
244,,,,,,,,,,,,,3.0,,,,,,,
245,,,,,,,,,,,,,,,,,3.0,,,
246,2.94,4.2,1.25,4.23,4.0,,,4.0,3.67,1.0,,,4.56,,,5.0,4.86,4.33,4.5,4.5
247,3.0,3.0,,3.82,1.0,,,4.5,2.5,,,,4.33,2.0,,3.5,4.07,5.0,4.0,5.0
248,2.0,4.0,3.0,3.0,,,,3.0,,,,,3.5,,,3.33,,2.0,3.0,4.0
249,2.83,3.0,,3.5,,,,4.25,,,,,3.5,,,2.0,4.0,,3.0,
250,,,3.0,,,,,,,,,,3.0,,,,,4.0,,
251,,,,3.0,,,,,,,,,,,,,,,,
252,2.12,4.0,5.0,2.82,1.0,,,3.0,2.0,,,,3.42,3.5,,3.5,3.83,2.5,3.0,4.0
253,2.73,3.7,3.12,3.41,3.67,,,3.75,2.6,,,,3.44,3.67,,3.27,3.92,3.17,3.88,3.71
254,2.0,,,3.5,,,,,,,,,,,,3.0,,,,
255,1.0,,,2.0,5.0,,,,,,,,2.0,,,,,,1.0,
256,1.75,4.0,3.0,2.4,2.33,,,4.0,3.5,,,,3.06,3.5,,2.3,3.0,2.0,2.5,2.0
257,2.0,4.0,,4.0,,,,4.5,,,,,2.0,,,2.75,4.0,4.33,3.0,
258,2.0,,,2.5,,,,4.0,,,,,2.83,,,,2.0,2.0,,
259,,,,3.5,,,,,,,,,,,,,4.0,4.0,3.0,
260,4.08,4.3,4.81,4.1,3.5,1.0,4.31,4.69,2.88,,,1.0,3.93,3.88,,4.57,4.5,4.73,3.86,3.43
261,3.28,,4.0,3.8,1.0,,4.0,,,,,,3.9,3.3,,4.0,3.5,4.5,4.0,4.0
262,3.33,5.0,,,,,,4.25,,,,,3.75,2.0,,3.0,4.5,4.5,,5.0
263,,,,3.0,,,,,,,,,,,,,,,,
264,,,,,,,5.0,,,,,,,,,4.0,,,,
265,2.7,4.0,4.0,3.92,4.0,,5.0,5.0,1.0,,,,3.88,4.0,,4.22,4.07,4.0,3.67,4.33
266,2.75,3.0,3.0,3.34,,,,5.0,,,,,2.72,4.5,,3.95,4.4,3.86,3.38,4.0
267,2.0,,,3.08,,,,2.25,,,,,2.75,,,,3.0,,,
268,,,,,,,4.0,,,,,,,,,5.0,,4.0,,4.0
269,,,,4.0,,,,,,,,,3.0,,,,,,4.0,
270,2.0,,4.0,2.0,,,,,,,,,4.0,,,4.5,,2.5,3.0,
271,2.0,,,,,,,,,,,,5.0,,,3.0,4.0,,,
272,3.5,5.0,4.0,3.94,5.0,,5.0,4.5,,,,,3.67,,,4.1,4.0,4.0,3.88,4.0
273,3.0,2.75,4.0,3.0,,,,,,,,,3.5,2.5,,3.67,4.0,2.67,3.0,3.0
274,,,,3.0,,,,2.0,,,,,,,,3.0,,,,
275,,,3.0,3.0,3.0,,,,,,,,4.0,,,,1.0,,,
276,2.0,3.5,3.0,3.0,,,,,,,,,2.0,4.0,,4.0,,2.67,3.0,3.0
277,3.0,2.5,2.0,3.33,1.5,,,3.0,2.5,,,,3.25,3.0,,4.14,4.0,4.3,,3.0
278,2.0,,,2.5,,,,,,,,,5.0,,,,,3.0,,
279,4.0,,,1.25,,,,,,,,,,,,5.0,,,,
280,3.17,4.0,,4.0,4.0,,5.0,4.0,,,,,,5.0,,5.0,4.33,4.25,,3.5
281,2.5,,,3.83,3.0,,,,,,,4.0,3.75,,,4.0,5.0,4.0,4.0,5.0
282,2.33,3.0,4.0,3.05,1.0,,1.0,,,,,,3.1,,,4.08,4.0,3.33,3.67,3.5
283,,,,,,,,,,,,,3.0,,,,,,,
285,,,,,,,,,,,,,,4.0,,,,,,
287,,,,3.0,,,,,,,,,4.0,,,,,2.0,3.0,
288,2.79,4.0,3.7,3.5,3.67,,,3.0,3.5,,,2.0,3.32,3.6,,3.04,4.0,3.43,2.2,2.8
289,2.5,,4.0,2.5,,,,4.0,,,,,4.0,,,4.0,,3.0,4.0,4.5
290,,,,3.62,3.0,,5.0,,,,5.0,,3.5,,,5.0,4.25,,3.25,
291,,,,,1.0,,,,,,,,1.5,2.0,,,,3.0,,
292,2.75,4.3,3.12,3.36,2.6,,2.0,4.0,1.33,,,,3.04,3.5,,3.21,4.56,4.08,3.42,2.8
293,3.15,4.44,4.0,4.14,4.0,4.0,,4.75,4.38,,,0.5,4.04,3.75,,3.91,4.24,4.33,4.25,4.25
294,,,,,,,,,,,,,,,,3.0,,4.0,3.0,
295,,,,3.0,,,,,,,,,4.0,,,,,2.5,,
296,3.68,4.63,4.44,4.02,4.2,4.5,5.0,4.54,4.43,,1.0,,4.28,4.57,,4.25,4.38,4.13,4.07,4.5
299,4.0,,5.0,4.0,3.0,,,,4.0,,,,4.0,,,5.0,4.0,,,1.5
300,3.09,4.0,4.0,3.62,4.17,,,3.0,4.0,,,,3.42,4.1,,3.86,4.4,3.67,4.0,4.5
301,,,,5.0,,,,,,,,,,,,,,,,
302,,,,3.33,4.0,,,,,,,,4.0,,,,4.0,,,
303,3.0,3.0,,3.07,,,,4.0,,,,,3.3,,,2.25,4.5,3.0,,
304,,,,,,,,,,,,,2.0,,,4.0,4.0,,,
305,2.67,4.0,,2.2,,,,,,,,,3.0,,,,4.0,3.0,,
306,4.67,4.5,,4.0,4.0,,5.0,,4.0,,,0.5,4.38,5.0,,4.0,4.3,,4.12,4.0
307,4.0,4.5,,3.83,4.0,,5.0,,3.5,,,,4.3,4.25,,4.0,4.5,,4.17,
308,4.67,,,3.8,,,5.0,,4.0,,,,4.4,,,3.5,4.5,,4.0,3.5
309,,,,,,,5.0,,,,,,,5.0,,,,,,
312,3.0,,,3.0,,,,,,,,,4.0,,,4.0,,,,
313,3.0,1.0,,,,,2.0,,,,,,2.5,,,4.0,,4.0,,
314,1.0,5.0,,3.5,,,,4.5,,,,,2.0,5.0,,4.5,3.67,5.0,3.0,5.0
315,2.08,5.0,2.5,2.8,4.0,3.5,1.0,2.0,2.0,,,,2.67,3.38,,3.0,4.5,3.5,,
316,3.2,4.42,3.5,3.03,4.0,,,3.9,3.0,,,2.0,3.26,3.92,,3.36,4.08,3.85,2.61,2.0
317,2.5,2.5,3.33,2.86,4.0,,,4.0,1.17,,,3.0,3.0,3.25,,3.14,2.75,3.5,3.67,3.0
318,3.94,4.58,4.5,4.31,4.32,4.0,4.75,4.86,3.25,,,4.67,4.4,4.81,,4.7,4.63,4.58,4.47,4.75
319,4.33,4.75,,3.85,3.0,,5.0,,3.0,,,,4.75,5.0,,1.0,4.17,3.0,5.0,4.0
320,,,,3.0,,,,,,,1.0,,3.0,,,,4.0,,,
321,,,,3.0,,,,,,,,,4.5,,,,4.25,,2.0,
322,4.0,,,4.17,,,,,2.5,,,,3.5,,,4.0,4.0,,3.0,
324,,,,3.0,,,,,,,,,3.0,,,,4.0,,,
325,,,,,,,,,,,,,3.0,,,,,,,
326,3.5,,,3.5,,,,,,,,,5.0,,,3.0,,,,5.0
327,3.0,3.0,2.5,2.43,1.5,,,2.0,,,,,3.67,5.0,,2.0,2.0,4.0,2.5,4.0
